0	0.00234995
1	0.00230015
2	0.00228687
3	0.00230513
4	0.00230098
5	0.00229517
6	0.00230264
7	0.00221382
8	0.00225781
9	0.00231343
10	0.00235576
11	0.00230928
12	0.00226777
13	0.00224951
14	0.00237817
15	0.00230098
16	0.00221963
17	0.0023292
18	0.00228521
19	0.00230015
20	0.00228354
21	0.00231177
22	0.00233916
23	0.00228105
24	0.00233418
25	0.00224536
26	0.00228354
27	0.00233003
28	0.00231011
29	0.00228438
30	0.00230347
31	0.00231675
32	0.0023126
33	0.00232671
34	0.00227192
35	0.00216235
36	0.00234995
37	0.00213247
38	0.00228271
39	0.00270356
