81.013 0.80267
82.023 0.94475
82.998 0.43020
84.004 0.59924
85.423 0.75308
86.721 0.73821
87.261 0.90051
88.153 0.96745
89.240 1.0983
90.059 1.0279
91.248 1.2178
92.769 1.2784
94.506 1.3219
95.497 1.2684
97.214 1.3075
98.979 1.2578
99.637 1.3222
100.69 1.3215
101.82 1.3657
103.42 1.4470
104.45 1.5349
105.07 1.5972
105.39 1.6348
106.04 1.6835
107.00 1.8312
108.02 1.9372
109.00 2.0774
110.02 2.1952
110.98 2.2984
112.01 2.4068
113.03 2.5084
113.35 2.5821
114.03 2.6347
114.98 2.7418
116.02 2.9144
117.04 3.0295
118.03 3.1660
119.02 3.2916
119.33 3.3606
120.24 3.4203
121.10 3.4892
121.99 3.6059
122.94 3.3921
123.99 3.0542
125.04 2.2802
126.01 2.0580
127.02 1.6590
127.99 1.1196
129.04 0.79823
130.55 0.67459
131.76 0.67664
132.09 0.75162
133.02 0.88460
134.07 1.0195
135.08 1.1998
136.09 1.2905
137.24 1.3748
138.38 1.4469
139.38 1.4973
141.05 1.5382
142.13 1.5325
143.23 1.5861
144.60 1.6640
145.55 1.7316
146.48 1.7986
147.55 1.8647
148.63 1.9249
149.82 1.9797
150.07 2.0359
151.27 2.1169
152.51 2.1958
153.66 2.2584
155.29 2.3493
156.09 2.4305
157.07 2.4952
158.44 2.6087
159.00 2.5641
159.88 2.5994
160.62 2.6665
160.97 2.7383
162.24 2.8333
163.53 2.9001
164.62 2.9489
165.17 2.8596
166.20 2.9694
166.96 3.1185
168.00 3.2403
168.02 3.2001
169.03 3.3691
170.25 3.5231
170.94 3.6023
172.02 3.0668
173.16 3.7169
174.03 3.8022
177.93 4.2419
