71	2.624
73	2.655
75	2.657
76	2.742
78	2.761
79	2.925
80	2.977
81	3.024
83	3.054
83	3.097
84	3.147
85	3.18
86	3.228
88	3.277
89	3.326
90	3.374
90	3.406
92	3.414
92	3.478
94	3.529
95	3.579
96	3.619
97	3.669
98	3.725
99	3.77
100	3.817
101	3.858
102	3.911
103	3.967
105	4.016
106	4.058
107	4.105
109	4.122
111	4.117
112	4.095
113	4.046
114	4.005
115	3.961
116	3.928
117	3.873
119	3.893
121	3.902
122	3.905
122	4.038
123	4.088
124	4.13
125	4.269
126	4.35
127	4.43
128	4.472
129	4.509
131	4.521
132	4.536
134	4.524
134	4.499
136	4.488
137	4.446
138	4.424
140	4.407
140	4.368
142	4.349
143	4.313
144	4.297
145	4.262
147	4.243
148	4.225
149	4.211
151	4.181
152	4.158
153	4.132
155	4.104
156	4.073
158	4.049
159	4.076
160	4.078
161	4.017
163	3.946
164	3.91
166	3.852
168	3.816
